ID,firstName,lastName,email,phone,hireDate,salary,currency_code,jobTitle,isActive,country_code,department_ID,createdAt,createdBy,modifiedAt,modifiedBy
30591486-906e-4551-935a-542b96600e5f,firstName-3059148,lastName-3059148,email-3059148,phone-3059148,2002-09-10,30303.91,634,jobTitle-3059148,true,205,97937765-9a0a-455b-a70b-7d4902ceff7a,2006-03-10T00:00:00.000Z,createdBy.1tkgc@example.net,2012-07-25T00:00:00.000Z,modifiedBy.1tkgc@example.com
19856815-28c7-46b0-ba2a-254c64cb4f92,firstName-19856815,lastName-19856815,email-19856815,phone-19856815,2018-05-28,22561696.31,634,jobTitle-19856815,false,205,97937858-e31a-4061-83eb-b42c1ff8494f,2009-11-26T00:00:00.000Z,createdBy.btlm7@example.org,2007-07-03T00:00:00.000Z,modifiedBy.btlm7@example.org
19856816-3fb5-4fd6-809f-ba060a8cd1cb,firstName-19856816,lastName-19856816,email-19856816,phone-19856816,2002-10-04,84659124.43,634,jobTitle-19856816,true,205,97937858-e31a-4061-83eb-b42c1ff8494f,2015-08-21T00:00:00.000Z,createdBy.btlm8@example.net,2011-04-02T00:00:00.000Z,modifiedBy.btlm8@example.net
19856817-68dc-41ee-98b7-8f06955e3920,firstName-19856817,lastName-19856817,email-19856817,phone-19856817,2010-01-15,45406861.46,634,jobTitle-19856817,false,205,97937858-e31a-4061-83eb-b42c1ff8494f,2017-06-05T00:00:00.000Z,createdBy.btlm9@example.net,2016-08-02T00:00:00.000Z,modifiedBy.btlm9@example.com
19856818-bd53-4cf7-b651-27e18fc8c2e3,firstName-19856818,lastName-19856818,email-19856818,phone-19856818,2003-09-29,96894262.53,634,jobTitle-19856818,true,205,97937858-e31a-4061-83eb-b42c1ff8494f,2018-09-16T00:00:00.000Z,createdBy.btlma@example.com,2015-03-20T00:00:00.000Z,modifiedBy.btlma@example.com
19856819-00f0-4ac1-baa5-f520c1e8eb27,firstName-19856819,lastName-19856819,email-19856819,phone-19856819,2006-06-29,1007365.53,634,jobTitle-19856819,false,205,97937858-e31a-4061-83eb-b42c1ff8494f,2012-04-14T00:00:00.000Z,createdBy.btlmb@example.net,2013-04-29T00:00:00.000Z,modifiedBy.btlmb@example.com
19856820-18fc-48fe-b0bc-435a9a40a58f,firstName-19856820,lastName-19856820,email-19856820,phone-19856820,2015-08-28,51029388.8,634,jobTitle-19856820,true,205,97937858-e31a-4061-83eb-b42c1ff8494f,2014-12-09T00:00:00.000Z,createdBy.btlmc@example.net,2023-07-09T00:00:00.000Z,modifiedBy.btlmc@example.com
19856821-048a-489b-8e39-053366eee51b,firstName-19856821,lastName-19856821,email-19856821,phone-19856821,2014-08-21,41423222.45,634,jobTitle-19856821,false,205,97937858-e31a-4061-83eb-b42c1ff8494f,2017-10-02T00:00:00.000Z,createdBy.btlmd@example.org,2006-07-04T00:00:00.000Z,modifiedBy.btlmd@example.org
19856822-e17f-4afa-a9af-36f52f29657c,firstName-19856822,lastName-19856822,email-19856822,phone-19856822,2015-06-20,64722822.63,634,jobTitle-19856822,true,205,97937858-e31a-4061-83eb-b42c1ff8494f,2016-10-06T00:00:00.000Z,createdBy.btlme@example.net,2014-09-03T00:00:00.000Z,modifiedBy.btlme@example.org
19856823-f1c3-4da2-9d26-1925d9e8a15a,firstName-19856823,lastName-19856823,email-19856823,phone-19856823,2007-05-30,63109447.01,634,jobTitle-19856823,false,205,97937858-e31a-4061-83eb-b42c1ff8494f,2023-11-28T00:00:00.000Z,createdBy.btlmf@example.com,2003-08-19T00:00:00.000Z,modifiedBy.btlmf@example.net
